"Accreditation status","Accredited(Expiry date)","Beds-Private beds (not publicly funded)","Beds-Publicly funded beds (short- and long-term)","Beds-Special Care Plus Unit beds","Beds-Total beds","Care Quality(BC Avg)-% of residents diagnosed with depression","Care Quality(BC Avg)-% of residents receiving depression medication","Care Quality(BC Avg)-% of residents receiving occupational therapy","Care Quality(BC Avg)-% of residents receiving physical therapy","Care Quality(BC Avg)-% of residents receiving recreation therapy","Care Quality(BC Avg)-Daily physical restraints","Care Quality(BC Avg)-Taken antipsychotics without a diagnosis of psychosis","Care Quality(Facility (not including special care unit))-% of residents diagnosed with depression","Care Quality(Facility (not including special care unit))-% of residents receiving depression medication","Care Quality(Facility (not including special care unit))-% of residents receiving occupational therapy","Care Quality(Facility (not including special care unit))-% of residents receiving physical therapy","Care Quality(Facility (not including special care unit))-% of residents receiving recreation therapy","Care Quality(Facility (not including special care unit))-Daily physical restraints","Care Quality(Facility (not including special care unit))-Taken antipsychotics without a diagnosis of psychosis","Care Quality(Facility)-% of residents diagnosed with depression","Care Quality(Facility)-% of residents receiving depression medication","Care Quality(Facility)-% of residents receiving occupational therapy","Care Quality(Facility)-% of residents receiving physical therapy","Care Quality(Facility)-% of residents receiving recreation therapy","Care Quality(Facility)-Daily physical restraints","Care Quality(Facility)-Taken antipsychotics without a diagnosis of psychosis","Care Quality(Special Care Plus Unit)-% of residents diagnosed with depression","Care Quality(Special Care Plus Unit)-% of residents receiving depression medication","Care Quality(Special Care Plus Unit)-% of residents receiving occupational therapy","Care Quality(Special Care Plus Unit)-% of residents receiving physical therapy","Care Quality(Special Care Plus Unit)-% of residents receiving recreation therapy","Care Quality(Special Care Plus Unit)-Daily physical restraints","Care Quality(Special Care Plus Unit)-Taken antipsychotics without a diagnosis of psychosis","City/postal code","Complaints-Number of complaints","Complaints-Number of licensing complaints","Complaints-Number substantiated complaints","Complaints-Number substantiated licensing complaints","Contact for complaints","Councils","Current language(s) spoken by staff","Date of last inspection","Date of last licensing inspection","Facility","Food prepared and cooked on site","Food services provided by:","Funded Allied Health hours per resident per day","Funded nursing care hours per resident per day","Health authority","Incidents-Abuse/neglect(BC Avg / 100 beds)","Incidents-Abuse/neglect(Per 100 beds)","Incidents-Abuse/neglect(Total Number)","Incidents-Aggression between persons in care(BC Avg / 100 beds)","Incidents-Aggression between persons in care(Per 100 beds)","Incidents-Aggression between persons in care(Total Number)","Incidents-Disease outbreak or occurrence(BC Avg / 100 beds)","Incidents-Disease outbreak or occurrence(Per 100 beds)","Incidents-Disease outbreak or occurrence(Total Number)","Incidents-Fall with injury/Adverse event(BC Avg / 100 beds)","Incidents-Fall with injury/Adverse event(Per 100 beds)","Incidents-Fall with injury/Adverse event(Total Number)","Incidents-Food or other poisoning(BC Avg / 100 beds)","Incidents-Food or other poisoning(Per 100 beds)","Incidents-Food or other poisoning(Total Number)","Incidents-Medication error with adverse event(BC Avg / 100 beds)","Incidents-Medication error with adverse event(Per 100 beds)","Incidents-Medication error with adverse event(Total Number)","Incidents-Missing or wandering person(BC Avg / 100 beds)","Incidents-Missing or wandering person(Per 100 beds)","Incidents-Missing or wandering person(Total Number)","Incidents-Other injury(BC Avg / 100 beds)","Incidents-Other injury(Per 100 beds)","Incidents-Other injury(Total Number)","Incidents-Serious adverse events(Total)","Meetings held","Opened","Operator (name)","Personal spending account (comfort fund)","Phone number","Phone number of complaint contact","Reason for inspection","Reason for licensing inspection","Regulation/Legislation","Room Configuration-Multi-person rooms","Room Configuration-Private rooms","Room Configuration-Semi-private rooms","Service Included-Other fees","Service Included-Personal cable monthly service","Service Included-Personal internet monthly service","Service Included-Personal telephone monthly service","Street address","Total 2015/16 funded direct care hours per resident per day","Visitor parking (cost)"
"Accredited","Yes (Oct 2019)","0","80","","80","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","34.9%","50.6%","8.1%","10.6%","1.1%","12.7%","24.3%","","","","","","","","Salmon Arm, BC V1E 4P9","","0","","0","Residential Care Coordinator / Manager","Separate Resident and Family Councils","Croatian, German, Russian, Ukrainian, Filipino, Tagalog","","07 Dec 2015","Bastion Place","Yes","Operator","0.34","2.78","Interior Health","1.0","1.3","1","1.5","0.0","0","0.7","1.3","1","11.9","0.0","0","0.1","0.0","0","0.2","0.0","0","1.6","3.8","3","1.6","1.3","1","","Regular Schedule","1991","Interior Health","Yes","(250) 833-3616","(250) 803-4539 / (250) 803-4538","","Monitoring","Hospital Act","6","60","2","Medical Alert, and clothing labelling","No","No","No","700 11 St. NE","3.12","Yes (no fee)"
"Accredited","Yes (Feb 2018)","0","80","","80","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","26.2%","45.7%","2.2%","2.2%","31.7%","15.2%","29.6%","","","","","","","","Victoria, BC V8V 1V1","","6","","3","General Manager / Director of Care","Separate Resident and Family","Info not available","","22 Sep 2016","Beacon Hill Villa","Yes","Operator","Info not available","Info not available","Vancouver Island","1.0","0.0","0","1.5","7.5","6","0.7","0.0","0","11.9","26.3","21","0.1","0.0","0","0.2","0.0","0","1.6","1.3","1","1.6","0.0","0","","Regular Schedule","1991","Retirement Concepts","Yes","(250) 383-5447","(250) 383-5447","","Complaint","Community Care and Assisted Living Act","0","66","7","ID bracelet, clothing labelling","No","No","No","635 Superior St","3.11","Yes (no fee)"
"N/A","No","0","65","","65","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","16.0%","56.3%","Info not available","1.1%","1.1%","33.1%","15.0%","","","","","","","","Victoria, BC V8V 4W4","","2","","0","Director Resident and Outreach Services / Director of Finance and Admin","Combined Resident and Family","Many, specifics unavailable","","11 Aug 2016","Beckley Farm Lodge","Yes","Operator","Info not available","Info not available","Vancouver Island","1.0","0.0","0","1.5","4.6","3","0.7","0.0","0","11.9","21.5","14","0.1","0.0","0","0.2","0.0","0","1.6","3.1","2","1.6","0.0","0","","Scheduled as needed","1981","Beckley Farm Lodge Society","Yes","(250) 381-4421","(250) 381-4421 ext 234 / (250) 381-4421 ext 225","","Follow-up","Community Care and Assisted Living Act","0","65","0","Walker/wheelchair Clothing labelling","No","No","No","530 Simcoe St","3.12","No"
"Accredited","Yes (Sep 2016)","0","5","","5","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","Suppressed","Suppressed","Suppressed","Suppressed","Suppressed","Suppressed","Suppressed","","","","","","","","Bella Coola, BC V0T 1C0","","Suppressed","","Suppressed","Program Manager","Separate and Combined Resident and Family Councils","English","","16 Jun 2016","Bella Coola General Hospital","Yes","Operator","Info not available","Info not available","Vancouver Coastal","1.0","Suppressed","Suppressed","1.5","Suppressed","Suppressed","0.7","Suppressed","Suppressed","11.9","Suppressed","Suppressed","0.1","Suppressed","Suppressed","0.2","Suppressed","Suppressed","1.6","Suppressed","Suppressed","1.6","Suppressed","Suppressed","","Scheduled as needed","1980","Vancouver Coastal Health","No","(250) 799-5311","(250) 799-5311","","Routine","Hospital Act","0","5","0"," ","No","No","Yes","1025 Elcho Street","Info not available","Yes (no fee)"
"Exemplary","Yes (Apr 2017)","92","56","","148","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","29.3%","34.4%","Info not available","7.7%","54.9%","9.5%","9.9%","","","","","","","","Coquitlam, BC V3K 7B3","","1","","0","Operations Manager / Resident Services Manager","Separate Resident and Family","English, French, Hindi, Tagalog, German, Romanian, Cantonese, Mandarin","","02 Aug 2016","Belvedere Care Centre","Yes","Outside Contractor","0.29","2.49","Fraser Health","1.0","0.0","0","1.5","0.0","0","0.7","0.7","1","11.9","2.7","4","0.1","0.0","0","0.2","0.0","0","1.6","0.7","1","1.6","0.0","0","","Regular Schedule","2006","Belvedere Care Centre Inc.","No","(604) 939-5991","(604) 939-5991","","Follow-up","Hospital Act","0","146","2","Clothing labelling fee","No","No","No","739 Alderson Avenue","2.78","Yes (no fee)"
"N/A","No","71","44","","115","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","Not reported","Not reported","Not reported","Not reported","Not reported","Not reported","Not reported","","","","","","","","Abbotsford, BC V2S 5G6","","3","","2","Executive Director","Combined Resident and Family Council","English, Punjabi, French, Hindi, Cantonese, Tagalog","","10 Nov 2016","Bevan Lodge Residential","Yes","Operator","0.29","2.32","Fraser Health","1.0","0.0","0","1.5","0.0","0","0.7","0.9","1","11.9","13.9","16","0.1","0.0","0","0.2","0.9","1","1.6","0.9","1","1.6","4.3","5","","Regular Schedule","Info not available","Trillium Care Services Inc.","Yes","(604) 850-5416","(604) 850-5416 ext 122","","Follow-up","Community Care and Assisted Living Act","0","105","5"," ","No","No","No","33386 Bevan Ave.","2.61","Yes (no fee)"
"N/A","No","12","7","","19","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","Not reported","Not reported","Not reported","Not reported","Not reported","Not reported","Not reported","","","","","","","","Prince George, BC V2K 2B3","","Info not available","","Info not available","Deborah Schofield","Family only","English, French","","07 Oct 2016","Birchview Residence","Yes","Operator","Info not available","Info not available","Northern Health","1.0","Info not available","Info not available","1.5","Info not available","Info not available","0.7","Info not available","Info not available","11.9","Info not available","Info not available","0.1","Info not available","Info not available","0.2","Info not available","Info not available","1.6","Info not available","Info not available","1.6","Info not available","Info not available","","Regular Schedule","2016","Birchview Residences Limited","Yes","(778) 415-9790","(778) 415-9790","","Routine","Community Care and Assisted Living Act","0","18","1"," ","No","Yes","No","7780 Hart Hwy","Info not available","Yes (no fee)"
"N/A","No","2","94","","96","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","21.1%","41.0%","0.3%","Info not available","88.0%","2.5%","18.7%","","","","","","","","Vancouver, BC V6L 2X7","","Info not available","","Info not available","Department Manager","Combined Resident and Family Council","English, Tagalog, Cantonese, Mandarin, Punjabi, Hindi, Hungarian, Greek, Spanish Russian, Ukrainian","","09 Jun 2016","Blenheim Lodge","Yes","Operator","0.18","2.34","Vancouver Coastal","1.0","0.0","0","1.5","0.0","0","0.7","1.0","1","11.9","30.2","29","0.1","0.0","0","0.2","0.0","0","1.6","6.3","6","1.6","0.0","0","","Regular Schedule","1969","Calling Foundation","Yes","(604) 732-8717","(604) 732-8717","","Routine","Community Care and Assisted Living Act","0","62","17"," ","No","No","No","3263 Blenheim Street","2.52","Yes (no fee)"
"N/A","No","2","60","","62","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","11.3%","33.1%","Info not available","0.4%","94.4%","13.2%","10.0%","","","","","","","","Vancouver, BC V6K 1J6","","1","","0","Care Coordinator / Administrator","Separate Resident and Family","English, Spanish, Tagalog, Mandarin, Cantonese, Vietnamese, French, Greek, Polish","","05 Feb 2016","Braddan Private Hospital","Yes","Operator","0.13","2.63","Vancouver Coastal","1.0","0.0","0","1.5","0.0","0","0.7","0.0","0","11.9","4.8","3","0.1","0.0","0","0.2","0.0","0","1.6","0.0","0","1.6","0.0","0","","Regular Schedule","1979","Braddan Private Hospital Ltd.","Yes","(604) 731-2127","(604) 731-2121 ext 3","","Routine","Hospital Act","0","22","20","Hairdressing, foot care","No","No","No","2450 West 2nd Ave","2.76","Yes (no fee)"
"Commendation","Yes (Nov 2018)","0","90","","90","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","25.5%","47.8%","0.3%","Info not available","15.2%","2.8%","12.0%","","","","","","","","Chilliwack, BC V2P 1P7","","0","","0","Manager – Kim Norman","Combined Resident and Family Council","English, Cantonese, Mandarin, Punjabi","","03 Nov 2016","Bradley Center","Yes","Outside Contractor","0.24","3.10","Fraser Health","1.0","1.1","1","1.5","2.2","2","0.7","1.1","1","11.9","3.3","3","0.1","0.0","0","0.2","0.0","0","1.6","0.0","0","1.6","0.0","0","","Regular Schedule","Info not available","Fraser Health","Yes","(604) 795-4103","(604) 795-4103","","Routine","Hospital Act","20","6","2","Special equipment, hairdresser, Foot care nurse, hip protectors","No","Yes","No","45600 Menholm Rd","3.33","Yes (fee charged)"
"Primer","Yes (Jan 2017)","2","100","","102","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","43.2%","62.6%","8.8%","20.2%","60.2%","23.5%","29.1%","","","","","","","","Kelowna, BC V1V 2G2","","2","","0","Community Administrator","Combined Resident and Family","English, French, German, Punjabi, Filipino, Russian, Polish","","28 Jul 2016","Brandt’s Creek Mews","Yes","Operator","0.35","2.80","Interior Health","1.0","1.0","1","1.5","2.0","2","0.7","0.0","0","11.9","10.8","11","0.1","0.0","0","0.2","0.0","0","1.6","1.0","1","1.6","4.9","5","","Regular Schedule","2009","InSite Housing and Hospitality and Health Services Inc.","Yes","(778) 478-8800","(778) 478-8800","","Monitoring","Community Care and Assisted Living Act","0","102","0","Hairdresser, Foot care nurse, Dental hygienist, cable TV/internet,","No","No","No","2081 Cross Rd","3.15","Yes (no fee)"
"Exemplary","Yes (Nov 2016)","2","15","","17","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","18.1%","65.9%","Info not available","5.2%","3.3%","Info not available","2.1%","","","","","","","","Brentwood Bay, BC V8M 1H4","","1","","0","Manager","Combined Resident and Family Council","English","","30 Oct 2015","Brentwood House","Yes","Operator","Info not available","Info not available","Vancouver Island","1.0","0.0","0","1.5","0.0","0","0.7","0.0","0","11.9","52.9","9","0.1","0.0","0","0.2","0.0","0","1.6","11.8","2","1.6","0.0","0","","Regular Schedule","2006","Beacon Community Services","Yes","(250) 652-0634","(250) 589-3354","","Follow-up","Community Care andAssisted Living Act","0","17","0"," ","No","No","No","1167 Stelly's Cross Road","2.93","Yes (no fee)"
"N/A","No","0","114","","114","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","31.1%","42.5%","0.4%","1.3%","2.6%","5.7%","37.0%","","","","","","","","Vancouver, BC V6H 3S9","","1","","1","Administrator","Resident only","Punjabi, Taglog, Vietnamese, Mandarin, Cantonese, Yaruba, Spanish, German, Polish, Farsi, Fant Ashante, Serbian, French, Hindi","","28 Apr 2016","Broadway Pentecostal Lodge","Yes","Operator","0.26","2.40","Vancouver Coastal","1.0","0.0","0","1.5","0.9","1","0.7","0.0","0","11.9","7.9","9","0.1","0.0","0","0.2","0.0","0","1.6","2.6","3","1.6","0.9","1","","Regular Schedule","1981","Broadway Pentecostal Care Association","Yes","(604) 733-1441","(604) 733-1441 ext 236","","Routine","Community Care and Assisted Living Act","0","114","0","Admin fees","No","No","No","1377 Lamey's Mill Rd","2.66","No"
"Exemplary","Yes (Oct 2019)","5","125","","130","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","21.6%","51.1%","Info not available","Info not available","0.2%","9.2%","36.9%","","","","","","","","Kamloops, BC V2B 3M4","","0","","0","General Manager","Separate Resident and Family","English, Filipino","","26 Oct 2016","Brocklehurst Gemstone Care Centre","Yes","Operator","0.35","2.80","Interior Health","1.0","1.5","2","1.5","0.8","1","0.7","0.8","1","11.9","13.8","18","0.1","0.0","0","0.2","0.0","0","1.6","0.0","0","1.6","0.8","1","","Regular Schedule","2013","Riverside Retirement Centre Ltd.","Yes","(778) 470-2596","(778) 470-2596 ext 101","","Monitoring","Community Care and Assisted Living Act","0","126","4"," ","No","Yes","No","1955 Tranquille Road","3.15","Yes (no fee)"
